Raw ELEITO (inclusive QP/média) exibido como "Não Eleito"
contagem: 160

tony-garcia | 1998 | Candidatura a Deputado Estadual | "1998 - Não Eleito" | Candidatura TSE 1998, PR, deputado estadual, SQ 160001607111121, nome civil Antô
luciano-zucco | 2022 | Deputado Federal | "2022 - Não Eleito" | ELEITO POR QP (TSE 2022)
luciano-zucco | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
cicero-lucena | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
cicero-lucena | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
alysson-bezerra | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
alysson-bezerra | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
alysson-bezerra | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
roberto-cidade | 2022 | Deputado Estadual | "2022 - Não Eleito" | ELEITO POR QP (TSE 2022)
roberto-cidade | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
dr-furlan | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
dr-furlan | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
anderson-ferreira | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
laurez-moreira | 2022 | Vice-Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
eduardo-braga | 2018 | Senador | "2018 - Não Eleito" | ELEITO (TSE 2018)
eduardo-braga | 2010 | Senador | "2010 - Não Eleito" | ELEITO (TSE 2010)
eduardo-braga | 2002 | Governador | "2002 - Não Eleito" | ELEITO (TSE 2002)
omar-aziz | 2022 | Senador | "2022 - Não Eleito" | ELEITO (TSE 2022)
omar-aziz | 2014 | Senador | "2014 - Não Eleito" | ELEITO (TSE 2014)
omar-aziz | 2010 | Governador | "2010 - Não Eleito" | ELEITO (TSE 2010)
leandro-grass | 2018 | Deputado Distrital | "2018 - Não Eleito" | ELEITO POR MÉDIA (TSE 2018)
alvaro-dias-rn | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
alvaro-dias-rn | 2016 | Vice-Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
paulo-serra | 2020 | Candidatura a Prefeito | "2020 - Não Eleito" | Candidatura TSE 2020, Santo Andre/SP, prefeito, SQ 250000959444, situacao APTO, 
paulo-serra | 2016 | Candidatura a Prefeito | "2016 - Não Eleito" | Candidatura TSE 2016, Santo Andre/SP, prefeito, SQ 250000033808, situacao APTO, 
wilson-witzel | 2018 | Candidatura a Governador | "2018 - Não Eleito" | Candidatura TSE 2018, RJ, governador, SQ 190000612301, situacao APTO, resultado 
paula-belmonte | 2022 | Deputado Distrital | "2022 - Não Eleito" | ELEITO POR MÉDIA (TSE 2022)
paula-belmonte | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR MÉDIA (TSE 2018)
tiao-bocalom | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
wellington-fagundes | 2014 | Senador | "2014 - Não Eleito" | ELEITO (TSE 2014)
eduardo-paes | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
eduardo-paes | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
eduardo-paes | 2008 | Prefeito | "2008 - Não Eleito" | ELEITO (TSE 2008)
jhc | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
jhc | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
jhc | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
jhc | 2014 | Deputado Federal | "2014 - Não Eleito" | ELEITO POR QP (TSE 2014)
garotinho | 2010 | Deputado Federal | "2010 - Não Eleito" | ELEITO (TSE 2010)
garotinho | 1998 | Governador | "1998 - Não Eleito" | ELEITO (TSE 1998)
cleitinho | 2022 | Senador | "2022 - Não Eleito" | ELEITO (TSE 2022)
cleitinho | 2016 | Vereador | "2016 - Não Eleito" | ELEITO POR MÉDIA (TSE 2016)
alexandre-kalil | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
alexandre-kalil | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
aecio-neves | 2022 | Candidatura a Deputado Federal | "2022 - Não Eleito" | Candidatura TSE 2022, MG, deputado federal, SQ 130001613348, situacao APTO, resu
aecio-neves | 2018 | Candidatura a Deputado Federal | "2018 - Não Eleito" | Candidatura TSE 2018, MG, deputado federal, SQ 130000613206, situacao APTO, resu
aecio-neves | 2010 | Candidatura a Senador | "2010 - Não Eleito" | Candidatura TSE 2010, MG, senador, SQ 130000000952, situacao APTO, resultado ELE
flavio-bolsonaro | 2018 | Senador | "2018 - Não Eleito" | ELEITO (TSE 2018)
joao-henrique-catan | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR MÉDIA (TSE 2018)
dr-daniel | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
dr-daniel | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
eduardo-riedel | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
pedro-cunha-lima | 2014 | Deputado Federal | "2014 - Não Eleito" | ELEITO POR QP (TSE 2014)
lucas-ribeiro | 2022 | Vice-Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
sergio-moro-gov-pr | 2022 | Senador | "2022 - Não Eleito" | ELEITO (TSE 2022)
lahesio-bonfim | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
lahesio-bonfim | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
lula | 2022 | Presidente | "2022 - Não Eleito" | ELEITO (TSE 2022)
lula | 2002 | Presidente | "2002 - Não Eleito" | ELEITO (TSE 2002)
william-siri | 2024 | Vereador | "2024 - Não Eleito" | ELEITO POR QP (TSE 2024)
william-siri | 2020 | Vereador | "2020 - Não Eleito" | ELEITO POR MÉDIA (TSE 2020)
elmano-de-freitas | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
elmano-de-freitas | 2018 | Deputado Estadual | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
romeu-zema | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
romeu-zema | 2018 | Governador | "2018 - Não Eleito" | ELEITO (TSE 2018)
confucio-moura | 2018 | Senador | "2018 - Não Eleito" | ELEITO (TSE 2018)
adriana-accorsi | 2022 | Deputado Federal | "2022 - Não Eleito" | ELEITO POR QP (TSE 2022)
felicio-ramuth | 2022 | Vice-Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
felicio-ramuth | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
felicio-ramuth | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
thiago-de-joaldo | 2022 | Deputado Federal | "2022 - Não Eleito" | ELEITO POR MÉDIA (TSE 2022)
ricardo-nunes | 2012 | Vereador de São Paulo | "2012 - Não Eleito" | ELEITO POR QP (TSE 2012)
eduardo-leite | 2022 | Governador do Rio Grande do Sul | "2022 - Não Eleito" | ELEITO (TSE 2022); Retornou ao governo e migrou para o PSD em 2025
eduardo-leite | 2018 | Governador do Rio Grande do Sul | "2018 - Não Eleito" | ELEITO (TSE 2018)
eduardo-leite | 2012 | Prefeito de Pelotas | "2012 - Não Eleito" | ELEITO (TSE 2012)
tarcisio-gov-sp | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
eduardo-girao | 2018 | Senador | "2018 - Não Eleito" | ELEITO (TSE 2018)
joao-roma | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR QP (TSE 2018)
ronaldo-caiado | 2014 | Senador | "2014 - Não Eleito" | ELEITO (TSE 2014)
roberto-claudio | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
roberto-claudio | 2012 | Prefeito | "2012 - Não Eleito" | ELEITO (TSE 2012)
margarete-coelho | 2018 | Deputado Federal | "2018 - Não Eleito" | ELEITO POR MÉDIA (TSE 2018)
margarete-coelho | 2014 | Vice-Governador | "2014 - Não Eleito" | ELEITO (TSE 2014)
erika-hilton | 2022 | Deputado Federal | "2022 - Não Eleito" | ELEITO POR QP (TSE 2022)
erika-hilton | 2020 | Vereador de São Paulo | "2020 - Não Eleito" | ELEITO POR QP (TSE 2020)
geraldo-alckmin | 2022 | Vice-Presidente da República | "2022 - Não Eleito" | ELEITO (TSE 2022)
haddad-gov-sp | 2012 | Prefeito | "2012 - Não Eleito" | ELEITO (TSE 2012)
cabo-daciolo | 2014 | Deputado Federal | "2014 - Não Eleito" | ELEITO POR QP (TSE 2014)
edegar-pretto | 2010 | Deputado Estadual | "2010 - Não Eleito" | ELEITO (TSE 2010)
felipe-camarao | 2022 | Vice-Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
raquel-lyra | 2022 | Governador | "2022 - Não Eleito" | ELEITO (TSE 2022)
raquel-lyra | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020)
raquel-lyra | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
raquel-lyra | 2010 | Deputado Estadual | "2010 - Não Eleito" | ELEITO (TSE 2010)
ivan-moraes | 2020 | Vereador | "2020 - Não Eleito" | ELEITO POR MÉDIA (TSE 2020)
ivan-moraes | 2016 | Vereador | "2016 - Não Eleito" | ELEITO POR QP (TSE 2016)
efraim-filho | 2006 | Deputado Federal | "2006 - Não Eleito" | ELEITO (TSE 2006)
valmir-de-francisquinho | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
valmir-de-francisquinho | 2016 | Prefeito | "2016 - Não Eleito" | ELEITO (TSE 2016)
valmir-de-francisquinho | 2012 | Prefeito | "2012 - Não Eleito" | ELEITO (TSE 2012)
valmir-de-francisquinho | 2008 | Vereador | "2008 - Não Eleito" | ELEITO (TSE 2008)
valmir-de-francisquinho | 2004 | Vereador | "2004 - Não Eleito" | ELEITO (TSE 2004)
valmir-de-francisquinho | 2000 | Vereador | "2000 - Não Eleito" | ELEITO (TSE 2000)
david-almeida | 2024 | Prefeito | "2024 - Não Eleito" | ELEITO (TSE 2024)
david-almeida | 2020 | Prefeito | "2020 - Não Eleito" | ELEITO (TSE 2020) [corrigido 2026-07-25: periodo_fim 2025 -> 2021; bug V4 do bac
